step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,14.104199904948835,0,0.0,0.9579841265493523,0,0.0
10.0,0,0.0,0.0,14.1884450632816,0,0.0,0.9668118345125274,0,0.0
15.0,0,0.0,0.0,10.012019242128078,0,0.0,0.6933903923909529,0,0.0
20.0,2,9.0,1.125,3.3622461153906547,2,9.0,0.24078024476311746,2,9.0
25.0,0,0.0,0.0,8.24045513187898,0,0.0,0.9883300065197866,0,0.0
30.0,2,2.0,0.16666666666666666,11.342530011253915,0,0.0,0.9843254730501279,0,0.0
35.0,2,12.0,0.75,10.35703434595262,0,0.0,0.5587482924071184,0,0.0
40.0,6,36.0,2.25,8.681178114079932,4,14.0,0.47945570127995923,4,14.0
45.0,0,0.0,0.0,8.074948707843822,0,0.0,0.6807078271751048,0,0.0
50.0,4,12.0,0.8,8.968164001236186,4,12.0,0.4824515785833461,4,12.0
55.0,0,0.0,0.0,9.79726532229619,0,0.0,0.7623168737241508,0,0.0
60.0,2,8.0,0.5,10.930821240556572,2,8.0,0.6379826702485928,2,8.0
65.0,2,18.0,1.0,11.270613809102267,2,18.0,0.6124661733381974,2,18.0
70.0,1,4.0,0.18181818181818182,11.629388528844874,1,4.0,0.771035951113437,1,4.0
75.0,1,3.0,0.15,10.908150469082686,1,3.0,0.6832642465830018,1,3.0
80.0,1,2.0,0.1111111111111111,7.965190945602509,1,2.0,0.609927389088156,1,2.0
85.0,7,22.0,1.0476190476190477,8.618749530357697,6,20.0,0.31012764774042223,6,20.0
90.0,2,12.0,0.631578947368421,8.66515090934575,2,12.0,0.47940913717232114,2,12.0
95.0,3,10.0,0.4166666666666667,10.72020149831183,2,9.0,0.5984168924443015,2,9.0
100.0,1,2.0,0.1,11.556653340426283,1,2.0,0.8362512523851151,1,2.0
105.0,2,8.0,0.38095238095238093,11.504336628351092,1,7.0,0.6846990131519566,1,7.0
