step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
20.0,0,0.0,0.0,10.0,0,0.0,0.7019034850420507,0,0.0
25.0,0,0.0,0.0,13.721229180810042,0,0.0,0.963097858107125,0,0.0
30.0,0,0.0,0.0,14.173637435071871,0,0.0,0.9948525511399419,0,0.0
35.0,0,0.0,0.0,14.123612713416808,0,0.0,0.9913412984931471,0,0.0
40.0,0,0.0,0.0,13.099707116139472,0,0.0,0.9114700288267732,0,0.0
45.0,0,0.0,0.0,14.259135073868354,0,0.0,0.9913451327553653,0,0.0
50.0,0,0.0,0.0,14.014904374608566,0,0.0,0.9744261709604005,0,0.0
55.0,0,0.0,0.0,14.244535187843983,0,0.0,0.9903958252852949,0,0.0
60.0,0,0.0,0.0,13.969876630292536,0,0.0,0.9712978526263539,0,0.0
65.0,0,0.0,0.0,14.203447620445193,0,0.0,0.9874633802429578,0,0.0
70.0,0,0.0,0.0,14.129042276358494,0,0.0,0.982411693708703,0,0.0
75.0,0,0.0,0.0,9.084650091028191,0,0.0,0.6281119196362484,0,0.0
80.0,0,0.0,0.0,7.523207325242176,0,3.0,0.5185266596255144,0,3.0
85.0,0,0.0,0.0,9.321362215604815,0,0.0,0.9657311347154415,0,0.0
90.0,0,0.0,0.0,8.523406443794286,0,0.0,0.6091380286413525,0,0.0
95.0,1,3.0,1.5,6.075028992117869,1,3.0,6.854356875713847e-05,1,3.0
100.0,1,8.0,2.0,8.832761100609495,1,8.0,0.5503172869271656,1,8.0
105.0,1,13.0,2.6,10.36447275520187,1,13.0,0.7205463903592567,1,13.0
110.0,1,18.0,3.6,10.58941559435291,1,18.0,0.7459984502030925,1,18.0
115.0,1,23.0,3.8333333333333335,10.86990465943588,1,23.0,0.7583387029756098,1,23.0
120.0,1,28.0,4.666666666666667,11.191816877310167,1,28.0,0.7851952984249515,1,28.0
125.0,0,0.0,0.0,11.302760783591,0,32.0,0.802209749845003,0,32.0
130.0,0,0.0,0.0,11.948079097461424,0,0.0,0.9783626459388792,0,0.0
135.0,0,0.0,0.0,12.442723998562489,0,0.0,0.9833939759876074,0,0.0
140.0,0,0.0,0.0,12.910666755994706,0,0.0,0.9759532294423252,0,0.0
145.0,0,0.0,0.0,13.096501297410342,0,0.0,0.9811480828464075,0,0.0
150.0,0,0.0,0.0,10.647538426966637,0,0.0,0.7901966313156897,0,0.0
155.0,1,5.0,0.8333333333333334,10.570135177437434,1,5.0,0.7891992473169089,1,5.0
160.0,1,10.0,1.6666666666666667,10.625596148441455,1,10.0,0.7913793330747125,1,10.0
165.0,1,15.0,2.142857142857143,9.511705171251444,1,15.0,0.6681919330522248,1,15.0
170.0,2,23.0,3.2857142857142856,8.682250323052099,2,23.0,0.5894872178732745,2,23.0
175.0,2,33.0,3.6666666666666665,9.257016169318973,2,33.0,0.5984399343554685,2,33.0
180.0,2,43.0,4.777777777777778,9.788595545913681,2,43.0,0.6506286531547111,2,43.0
185.0,2,53.0,5.3,9.820260438666091,2,53.0,0.6742070756157611,2,53.0
190.0,2,63.0,6.3,9.724012749115996,2,63.0,0.7117879905936257,2,63.0
195.0,2,73.0,7.3,9.980228336807532,2,73.0,0.7064486930410386,2,73.0
200.0,2,83.0,8.3,9.98095611819318,2,83.0,0.7045317898174526,2,83.0
205.0,2,93.0,7.75,10.061435490701273,2,93.0,0.7245103189996427,2,93.0
210.0,1,43.0,3.3076923076923075,10.616307902472492,1,102.0,0.7793177613685229,1,102.0
215.0,1,48.0,3.0,10.954912286092927,1,48.0,0.8581988818377299,1,48.0
220.0,1,53.0,3.3125,11.536173242758466,1,53.0,0.892205865912577,1,53.0
225.0,1,58.0,3.411764705882353,11.321342911288738,1,58.0,0.8498973490599842,1,58.0
230.0,3,68.0,3.7777777777777777,10.675657500393097,3,68.0,0.772559258737058,3,68.0
235.0,2,75.0,3.75,10.345613799788206,2,82.0,0.7418752465086655,2,82.0
240.0,3,89.0,4.45,10.76059580998917,3,89.0,0.8023895152795053,3,89.0
245.0,3,104.0,5.473684210526316,10.26623796545619,3,104.0,0.739965238387001,3,104.0
250.0,4,124.0,5.391304347826087,10.72447487501359,4,124.0,0.7590015500413371,4,124.0
255.0,4,144.0,5.76,11.011611967122427,4,144.0,0.7739333659209297,4,144.0
260.0,4,164.0,6.3076923076923075,11.21130001214461,4,164.0,0.7944432672333493,4,164.0
265.0,5,185.0,7.4,9.782334314817184,5,185.0,0.6727554360996473,5,185.0
270.0,8,221.0,8.84,8.955087681470262,8,221.0,0.6277455027884727,8,221.0
275.0,4,56.0,2.074074074074074,9.273998227231495,4,257.0,0.6409349874999563,4,257.0
280.0,3,29.0,1.0740740740740742,9.92860993068148,3,29.0,0.8160177121712126,3,29.0
285.0,1,1.0,0.037037037037037035,9.845521391745184,1,42.0,0.7026767528280669,1,42.0
290.0,2,11.0,0.4074074074074074,10.629671959500397,2,11.0,0.7732953212564408,2,11.0
295.0,4,27.0,0.9,10.859509305033162,4,27.0,0.7276881282299774,4,27.0
300.0,5,48.0,1.5483870967741935,10.736978328586236,5,48.0,0.6957208963782484,5,48.0
