step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
20.0,0,0.0,0.0,10.0,0,0.0,0.6987696832064751,0,0.0
25.0,0,0.0,0.0,13.786328018992208,0,0.0,0.9633468062411737,0,0.0
30.0,0,0.0,0.0,13.997431932577312,0,0.0,0.9780981077231248,0,0.0
35.0,0,0.0,0.0,13.917295377213888,0,0.0,0.972498408182669,0,0.0
40.0,0,0.0,0.0,13.241079864605055,0,0.0,0.8893818296262801,0,0.0
45.0,0,0.0,0.0,14.869434785491013,0,0.0,0.9934899054770456,0,0.0
50.0,0,0.0,0.0,14.851086774826673,0,0.0,0.9924192820285846,0,0.0
55.0,0,0.0,0.0,14.783553625850164,0,0.0,0.9880494781135133,0,0.0
60.0,0,0.0,0.0,14.606116490598925,0,0.0,0.9756512503386525,0,0.0
65.0,0,0.0,0.0,14.683992566642974,0,0.0,0.9807264054228013,0,0.0
70.0,0,0.0,0.0,14.785876551803359,0,0.0,0.9873519536455192,0,0.0
75.0,0,0.0,0.0,8.862041760001425,0,0.0,0.5739286306290373,0,0.0
80.0,1,5.0,2.5,7.6338329838098575,1,5.0,0.4886144497661128,1,5.0
85.0,1,10.0,5.0,7.65452997292994,1,10.0,0.4899378302678137,1,10.0
90.0,1,15.0,7.5,7.672002151488759,1,15.0,0.0,1,15.0
95.0,1,20.0,10.0,7.685576797052254,1,20.0,0.0,1,20.0
100.0,1,25.0,6.25,9.206203214482697,1,25.0,0.5781781513685978,1,25.0
105.0,1,30.0,6.0,10.499208315503259,1,30.0,0.6905863172110271,1,30.0
110.0,0,0.0,0.0,11.313855530808915,0,34.0,0.7547577072527076,0,34.0
115.0,0,0.0,0.0,12.009367894333208,0,0.0,0.9791591618457391,0,0.0
120.0,0,0.0,0.0,12.689137170217817,0,0.0,0.9863843984708578,0,0.0
125.0,0,0.0,0.0,13.318112264979518,0,0.0,0.977166921996577,0,0.0
130.0,0,0.0,0.0,13.630401495772986,0,0.0,0.9836133720825235,0,0.0
135.0,0,0.0,0.0,13.348077574789878,0,0.0,0.9856607643352433,0,0.0
140.0,0,0.0,0.0,13.115165477245382,0,0.0,0.9909371247683281,0,0.0
145.0,0,0.0,0.0,12.967183600408136,0,0.0,0.9779020245282892,0,0.0
150.0,0,0.0,0.0,12.832721934901507,0,0.0,0.9718237421799353,0,0.0
155.0,0,0.0,0.0,10.508785415159059,0,0.0,0.7879725597573459,0,0.0
160.0,2,7.0,1.1666666666666667,8.294161665400575,2,7.0,0.5922304251696406,2,7.0
165.0,2,17.0,2.4285714285714284,7.282498424532439,2,17.0,0.4833368055125078,2,17.0
170.0,3,32.0,4.571428571428571,7.422348172087652,3,32.0,0.4895141767436107,3,32.0
175.0,3,47.0,5.875,7.466834413370446,3,47.0,0.5304097028730069,3,47.0
180.0,3,62.0,7.75,7.802908071811613,3,62.0,0.5595143803793785,3,62.0
185.0,3,77.0,8.555555555555555,8.070926445381156,3,77.0,0.5893917281636656,3,77.0
190.0,3,92.0,9.2,8.526236208652218,3,92.0,0.6385567248894493,3,92.0
195.0,3,107.0,10.7,8.603203453310774,3,107.0,0.6424834990264696,3,107.0
200.0,4,125.0,12.5,7.573936640390937,4,125.0,0.5448941966708538,4,125.0
205.0,4,145.0,12.083333333333334,8.09814051591509,4,145.0,0.5767970422014532,4,145.0
210.0,4,165.0,12.692307692307692,8.827956064794598,4,165.0,0.634111211189546,4,165.0
215.0,4,185.0,11.5625,9.435454188971121,4,185.0,0.6833189128007561,4,185.0
220.0,4,205.0,12.8125,9.94450820711003,4,205.0,0.7049021342437475,4,205.0
225.0,4,225.0,13.235294117647058,10.003079000898833,4,225.0,0.7172209272141806,4,225.0
230.0,4,245.0,12.894736842105264,10.292591235156836,4,245.0,0.7411148238840257,4,245.0
235.0,5,266.0,12.666666666666666,9.834460681466961,5,266.0,0.706842024234117,5,266.0
240.0,5,291.0,14.55,9.934521448576508,5,291.0,0.7097716654371243,5,291.0
245.0,5,316.0,15.8,9.939364396267422,5,316.0,0.710241952466349,5,316.0
250.0,5,341.0,14.208333333333334,9.96037237208397,5,341.0,0.703531592351449,5,341.0
255.0,6,369.0,14.192307692307692,9.98193785458077,6,369.0,0.7122055757910776,6,369.0
260.0,2,121.0,4.481481481481482,10.301239428114384,2,395.0,0.7131176815827651,2,395.0
265.0,2,131.0,4.851851851851852,10.385276351502247,2,131.0,0.8363285468767846,2,131.0
270.0,2,141.0,5.035714285714286,11.1575736735363,2,141.0,0.8487622746651747,2,141.0
275.0,2,151.0,5.206896551724138,11.863747537850903,2,151.0,0.849062666357215,2,151.0
280.0,3,164.0,5.655172413793103,11.768737193537781,3,164.0,0.8152215412012453,3,164.0
285.0,3,179.0,6.172413793103448,11.838024696619367,3,179.0,0.7867235587299708,3,179.0
290.0,3,194.0,6.689655172413793,11.838029479858035,3,194.0,0.785534341197639,3,194.0
295.0,3,209.0,6.53125,11.679828708803203,3,209.0,0.77041346089655,3,209.0
300.0,2,201.0,5.911764705882353,11.192686403033845,2,225.0,0.7140031500154247,2,225.0
305.0,2,211.0,5.861111111111111,11.291211706964074,2,211.0,0.7972121007130952,2,211.0
